スケールs,目的関数J（s変化）
1.2,684716.5
1.206060606060606,682266.5
1.2121212121212122,672069.5
1.218181818181818,663861.5
1.2242424242424241,659027.5
1.2303030303030302,655529.0
1.2363636363636363,648868.0
1.2424242424242424,643317.5
1.2484848484848485,638500.0
1.2545454545454544,632411.5
1.2606060606060605,627193.0
1.2666666666666666,620875.0
1.2727272727272727,610868.0
1.2787878787878788,606567.0
1.284848484848485,601463.0
1.2909090909090908,596130.5
1.2969696969696969,593839.5
1.303030303030303,587755.0
1.309090909090909,578130.0
1.3151515151515152,570850.5
1.3212121212121213,566499.0
1.3272727272727272,553609.0
1.3333333333333333,545688.0
1.3393939393939394,537837.0
1.3454545454545455,528983.5
1.3515151515151516,520391.0
1.3575757575757574,512286.0
1.3636363636363635,499509.0
1.3696969696969696,488315.0
1.3757575757575757,480936.0
1.3818181818181818,470077.5
1.387878787878788,460128.5
1.393939393939394,447069.5
1.4,437933.0
1.406060606060606,428010.5
1.412121212121212,415604.0
1.4181818181818182,399620.5
1.4242424242424243,383963.0
1.4303030303030302,368782.5
1.4363636363636363,350362.5
1.4424242424242424,334265.0
1.4484848484848485,311079.0
1.4545454545454546,284165.0
1.4606060606060605,258381.0
1.4666666666666668,225507.0
1.4727272727272727,189703.5
1.4787878787878788,151931.5
1.4848484848484849,110543.5
1.490909090909091,68608.5
1.496969696969697,24346.0
1.503030303030303,21231.5
1.509090909090909,65860.0
1.5151515151515151,107752.5
1.5212121212121212,146561.5
1.5272727272727273,185059.5
1.5333333333333332,220350.0
1.5393939393939395,250537.5
1.5454545454545454,280197.0
1.5515151515151515,307217.0
1.5575757575757576,330571.0
1.5636363636363637,349933.5
1.5696969696969698,367380.5
1.5757575757575757,382712.0
1.5818181818181818,396421.5
1.587878787878788,409855.0
1.593939393939394,421614.0
1.6,435067.0
1.606060606060606,443576.5
1.612121212121212,453219.0
1.6181818181818182,460601.0
1.6242424242424243,472354.5
1.6303030303030304,481544.0
1.6363636363636362,489399.0
1.6424242424242426,496407.0
1.6484848484848484,506426.0
1.6545454545454545,513473.0
1.6606060606060606,519794.0
1.6666666666666667,530334.5
1.6727272727272728,536949.0
1.6787878787878787,545815.0
1.6848484848484848,553943.0
1.690909090909091,559770.0
1.696969696969697,564908.5
1.7030303030303031,571592.5
1.709090909090909,580156.0
1.7151515151515153,588301.5
1.7212121212121212,594567.5
1.7272727272727273,599512.5
1.7333333333333334,607259.0
1.7393939393939393,611578.0
1.7454545454545456,618561.0
1.7515151515151515,620881.5
1.7575757575757576,627935.0
1.7636363636363637,631006.5
1.7696969696969698,637309.5
1.7757575757575759,644966.0
1.7818181818181817,651415.0
1.787878787878788,653973.0
1.793939393939394,663076.0
1.8,665449.0
