回転角度θ（度）,目的関数J（θ変化）
20.0,628088.0
20.2020202020202,625738.5
20.404040404040405,619518.5
20.606060606060606,615746.0
20.80808080808081,612006.0
21.01010101010101,605267.0
21.21212121212121,598741.5
21.414141414141415,594563.0
21.616161616161616,589017.0
21.818181818181817,581223.0
22.02020202020202,574417.5
22.22222222222222,569396.5
22.424242424242426,564730.0
22.626262626262626,561493.5
22.828282828282827,554190.5
23.03030303030303,545638.0
23.232323232323232,539627.5
23.434343434343432,532334.5
23.636363636363637,527185.0
23.838383838383837,520262.5
24.04040404040404,516227.5
24.242424242424242,506699.0
24.444444444444443,501117.5
24.646464646464647,493195.5
24.848484848484848,483713.0
25.050505050505052,471399.0
25.252525252525253,464849.5
25.454545454545453,457052.5
25.656565656565657,450102.0
25.858585858585858,440618.0
26.060606060606062,433035.5
26.262626262626263,421791.0
26.464646464646464,411843.5
26.666666666666668,400501.5
26.86868686868687,391117.5
27.070707070707073,378711.0
27.272727272727273,368359.5
27.474747474747474,350676.0
27.676767676767675,334327.0
27.87878787878788,322654.0
28.080808080808083,305914.0
28.282828282828284,285081.5
28.484848484848484,262692.5
28.686868686868685,236761.5
28.88888888888889,206200.0
29.09090909090909,172375.0
29.292929292929294,138837.0
29.494949494949495,100369.0
29.696969696969695,62218.0
29.8989898989899,21931.0
30.1010101010101,20209.0
30.303030303030305,60129.5
30.505050505050505,99653.5
30.707070707070706,137406.0
30.909090909090907,173961.5
31.11111111111111,206145.0
31.313131313131315,234467.5
31.515151515151516,259779.0
31.717171717171716,280633.5
31.919191919191917,301753.0
32.121212121212125,317554.5
32.323232323232325,331191.5
32.525252525252526,347906.0
32.72727272727273,361656.0
32.92929292929293,376582.0
33.131313131313135,389892.0
33.333333333333336,402291.0
33.535353535353536,411600.0
33.73737373737374,420849.5
33.93939393939394,432842.5
34.141414141414145,441906.0
34.34343434343434,449934.0
34.54545454545455,460813.0
34.74747474747475,472226.5
34.94949494949495,481202.0
35.15151515151515,487019.0
35.35353535353535,495639.5
35.55555555555556,503823.0
35.75757575757576,511904.0
35.95959595959596,519658.5
36.161616161616166,525679.0
36.36363636363636,530734.5
36.56565656565657,536172.0
36.76767676767677,544765.5
36.96969696969697,550595.0
37.17171717171718,553252.5
37.37373737373737,560926.0
37.57575757575758,566148.0
37.77777777777778,575631.0
37.97979797979798,579745.5
38.18181818181818,582920.0
38.38383838383838,590745.5
38.58585858585859,596679.5
38.78787878787879,600457.0
38.98989898989899,607007.0
39.19191919191919,611371.0
39.39393939393939,618362.0
39.5959595959596,621800.5
39.7979797979798,625954.5
40.0,627295.5
